question,answer,source,intent
what is the title and extent of operation of the indian penal code?,"the title is the indian penal code and its operation extends to the punishment of offences committed within india, and beyond but which by law may be tried within india. it also includes extension of the code to extraterritorial offences.",IPC,law_info
"where does the operation of the indian penal code extend to, and does it include extraterritorial offences?","the operation of the indian penal code extends to the punishment of offences committed within india, and beyond but which by law may be tried within india. it also includes extension of the code to extraterritorial offences.",IPC,law_info
what does the indian penal code stipulate about certain laws?,the indian penal code specifies that certain laws are not to be affected by this act.,IPC,law_info
what does the indian penal code say about the impact of this act on certain laws?,the indian penal code specifies that certain laws are not to be affected by this act.,IPC,law_info
"what is man, woman, person, and public according to the indian penal code?","these terms are defined in the general explanations section of the indian penal code, however, the actual definitions are not provided in the provided text.",IPC,law_info
"where are the terms man, woman, person, and public defined in the indian penal code?",these terms are defined in the general explanations section of the indian penal code.,IPC,law_info
"what is the definition of wrongful gain, wrongful loss, dishonestly, and fraudulently in the indian penal code?","these terms are defined in the general explanations section of the indian penal code, however, the actual definitions are not provided in the provided text.",IPC,law_info
"where in the indian penal code are the terms wrongful gain, wrongful loss, dishonestly, and fraudulently defined?",these terms are defined in the general explanations section of the indian penal code.,IPC,law_info
what are the types of punishments stipulated in the indian penal code?,"the types of punishments are mentioned in chapter iii of the indian penal code, but the actual details are not provided in the given text.",IPC,law_info
in which chapter of the indian penal code are the types of punishments mentioned?,the types of punishments are mentioned in chapter iii of the indian penal code.,IPC,law_info
what is meant by communtation of sentence of death and communtation of sentence of imprisonment in the indian penal code?,"these terms refer to the reduction of the severity of a penalty or sentence of death or imprisonment. however, the specific details of these terms as used in the indian penal code are not provided in the given text.",IPC,law_info
what do the terms communtation of sentence of death and communtation of sentence of imprisonment generally refer to?,these terms generally refer to the reduction of the severity of a penalty or sentence of death or imprisonment.,IPC,law_info
what is the definition of appropriate government according to section 55a?,the text does not provide a definition for appropriate government under section 55a.,IPC,law_info
does the text provide a definition for appropriate government under section 55a?,"no, the text does not provide a definition for appropriate government under section 55a.",IPC,law_info
what is the punishment for fractions of terms according to section 57?,the text does not provide specific details on the punishment for fractions of terms under section 57.,IPC,law_info
does the text provide specific details on the punishment for fractions of terms under section 57?,"no, the text does not provide specific details on the punishment for fractions of terms under section 57.",IPC,law_info
what does section 60 state about the sentence?,section 60 states that the sentence may be wholly or partly rigorous or simple in certain cases of imprisonment.,IPC,law_info
which section states that the sentence may be wholly or partly rigorous or simple in certain cases of imprisonment?,section 60 states that.,IPC,law_info
what does section 63 refer to?,section 63 refers to the amount of fine.,IPC,law_info
what does the amount of fine refer to in legal terms?,"in legal terms, the amount of fine refers to section 63.",IPC,law_info
what does section 68 state about imprisonment?,section 68 states that imprisonment is to terminate on payment of fine.,IPC,law_info
what does imprisonment terminate on according to section 68?,"according to section 68, imprisonment terminates on payment of fine.",IPC,law_info
what does section 73 refer to?,section 73 refers to solitary confinement.,IPC,law_info
what does solitary confinement refer to in this context?,"in this context, solitary confinement refers to section 73.",IPC,law_info
what does section 74 limit?,section 74 limits the duration of solitary confinement.,IPC,law_info
what does section 74 specifically limit in terms of prison conditions?,section 74 specifically limits the duration of solitary confinement.,IPC,law_info
what does section 75 refer to?,section 75 refers to the enhanced punishment for certain offences under chapter xii or chapter xvii after a previous conviction.,IPC,law_info
what does enhanced punishment for certain offences under chapter xii or chapter xvii after a previous conviction refer to?,this refers to section 75.,IPC,law_info
what does section 81 refer to?,"section 81 refers to an act likely to cause harm, but done without criminal intent, and to prevent other harm.",IPC,law_info
"which section refers to an act likely to cause harm, but done without criminal intent, and to prevent other harm?","section 81 refers to an act likely to cause harm, but done without criminal intent, and to prevent other harm.",IPC,law_info
what does section 84 refer to?,section 84 refers to the act of a person of unsound mind.,IPC,law_info
what is the term for the act of a person of unsound mind in legal terminology?,the act of a person of unsound mind is referred to as section 84 in legal terminology.,IPC,law_info
what does section 88 refer to?,the text does not provide specific details on what section 88 refers to.,IPC,law_info
does the text provide specific details on what section 88 refers to?,"no, the text does not provide specific details on what section 88 refers to.",IPC,law_info
what does act 90 state?,"act 90 states that consent known to be given under fear or misconception, consent of an insane person, and consent of a child are all considered.",IPC,law_info
"what does consent known to be given under fear or misconception, consent of an insane person, and consent of a child all have in common?",they are all considered under act 90.,IPC,law_info
what is act 91 about?,act 91 is about the exclusion of acts which are offences independently of harm caused.,IPC,law_info
what does act 91 specifically exclude?,act 91 excludes acts which are offences independently of harm caused.,IPC,law_info
what does act 92 describe?,act 92 describes an act done in good faith for the benefit of a person without consent.,IPC,law_info
which act describes an act done in good faith for the benefit of a person without consent?,act 92,IPC,law_info
what is the focus of act 93?,act 93 focuses on communication made in good faith.,IPC,law_info
which act focuses on communication made in good faith?,act 93 focuses on communication made in good faith.,IPC,law_info
what is mentioned in act 94?,act 94 mentions an act to which a person is compelled by threats.,IPC,law_info
which act talks about a person being compelled by threats?,act 94,IPC,law_info
what does act 95 deal with?,act 95 deals with an act causing slight harm.,IPC,law_info
what is the subject of the act that deals with causing slight harm?,the act that deals with causing slight harm is act 95.,IPC,law_info
what is act 96 about?,act 96 is about things done in private defence.,IPC,law_info
which act is about things done in private defence?,act 96 is about things done in private defence.,IPC,law_info
what does act 97 state?,act 97 states the right of private defence of the body and of property.,IPC,law_info
which act states the right of private defence of the body and of property?,act 97 states the right of private defence of the body and of property.,IPC,law_info
what is act 98 focused on?,act 98 focuses on the right of private defence against the act of a person of unsound mind.,IPC,law_info
which act focuses on the right of private defence against the act of a person of unsound mind?,act 98,IPC,law_info
what is outlined in act 99?,act 99 outlines acts against which there is no right of private defence.,IPC,law_info
which act outlines acts against which there is no right of private defence?,act 99 outlines acts against which there is no right of private defence.,IPC,law_info
what does act 100 describe?,act 100 describes when the right of private defence of the body extends to causing death.,IPC,law_info
which act describes when the right of private defence of the body extends to causing death?,act 100 describes when the right of private defence of the body extends to causing death.,IPC,law_info
what is the definition of abetment in act 107?,act 107 defines abetment of a thing.,IPC,law_info
what does act 107 define?,abetment of a thing,IPC,law_info
what does act 108 define?,act 108 defines an abettor.,IPC,law_info
who is defined by act 108?,an abettor,IPC,law_info
what is stated in act 108a?,act 108a states about abetment in indian of offences outside india.,IPC,law_info
what does act 108a in indian law discuss?,act 108a discusses about abetment in india of offences outside india.,IPC,law_info
what does act 109 focus on?,act 109 focuses on the punishment of abetment if the act abetted is committed in consequence and when no express provision is made for its punishment.,IPC,law_info
which act focuses on the punishment of abetment if the act abetted is committed in consequence and when no express provision is made for its punishment?,act 109 focuses on this.,IPC,law_info
what does section 114 in the law text refer to?,section 114 refers to the abettor being present when the offence is committed.,IPC,law_info
which section of the law text refers to the abettor being present when the offence is committed?,section 114 refers to the abettor being present when the offence is committed.,IPC,law_info
what does section 115 discuss in the legal text?,"section 115 discusses the abetment of offence punishable with death or imprisonment for life, particularly if the offence is not committed.",IPC,law_info
"which section of the legal text discusses the abetment of offence punishable with death or imprisonment for life, particularly if the offence is not committed?",section 115 discusses this.,IPC,law_info
