question,answer,source,intent
"what is the short title, extent and commencement referred to in the code of criminal procedure, 1973?",section 1 of chapter i preliminary,CrPC,law_info
"which section of the code of criminal procedure, 1973 refers to the short title, extent and commencement?",section 1 of chapter i preliminary,CrPC,law_info
"what does section 2 of the code of criminal procedure, 1973 define?",definitions,CrPC,law_info
"what is defined in section 2 of the code of criminal procedure, 1973?",definitions,CrPC,law_info
"what is the purpose of section 3 in the code of criminal procedure, 1973?",construction of references,CrPC,law_info
"which section of the code of criminal procedure, 1973 is about construction of references?",section 3,CrPC,law_info
"what is regulated under section 4 in the code of criminal procedure, 1973?",trial of offences under the indian penal code and other laws,CrPC,law_info
"under which section in the code of criminal procedure, 1973 is the trial of offences under the indian penal code and other laws regulated?",section 4,CrPC,law_info
"what is the subject of section 5 in the code of criminal procedure, 1973?",saving,CrPC,law_info
"which section of the code of criminal procedure, 1973 is about saving?",section 5,CrPC,law_info
"what does chapter ii of the code of criminal procedure, 1973 cover?",constitution of criminal courts and offices,CrPC,law_info
"which chapter of the code of criminal procedure, 1973 covers the constitution of criminal courts and offices?",chapter ii,CrPC,law_info
"what does section 6 of the code of criminal procedure, 1973 classify?",classes of criminal courts,CrPC,law_info
"what does the code of criminal procedure, 1973, in section 6, classify as classes of criminal courts?",section 6,CrPC,law_info
"what is discussed in section 7 of the code of criminal procedure, 1973?",territorial divisions,CrPC,law_info
"which section of the code of criminal procedure, 1973 discusses territorial divisions?",section 7,CrPC,law_info
"what is the focus of section 8 in the code of criminal procedure, 1973?",metropolitan areas,CrPC,law_info
"which section of the code of criminal procedure, 1973 is focused on metropolitan areas?",section 8,CrPC,law_info
"what does section 9 in the code of criminal procedure, 1973 relate to?",court of session,CrPC,law_info
"which section in the code of criminal procedure, 1973 relates to the court of session?",section 9,CrPC,law_info
"what does section 22 in the code of criminal procedure, 1973 discuss?",local jurisdiction,CrPC,law_info
"which section in the code of criminal procedure, 1973 discusses local jurisdiction?",section 22,CrPC,law_info
what is the topic of chapter iii in the text?,power of courts,CrPC,law_info
in which chapter of the text is the topic power of courts discussed?,chapter iii,CrPC,law_info
what is section 23 about?,subordination of executive magistrates,CrPC,law_info
which section is about the subordination of executive magistrates?,section 23,CrPC,law_info
what does section 27 pertain to?,jurisdiction in the case of juveniles,CrPC,law_info
which section pertains to jurisdiction in the case of juveniles?,section 27,CrPC,law_info
what is the content of section 28?,sentences which high courts and sessions judges may pass,CrPC,law_info
which section contains information about the sentences which high courts and sessions judges may pass?,section 28,CrPC,law_info
what is addressed in section 30?,sentence of imprisonment in default of fine,CrPC,law_info
which section addresses the sentence of imprisonment in default of fine?,section 30,CrPC,law_info
what is included in section 35?,powers of judges and magistrates exercisable by their successorsinoffice,CrPC,law_info
in which section can you find information about the powers of judges and magistrates exercisable by their successorsinoffice?,section 35,CrPC,law_info
what is the focus of chapter iv?,powers of superior officers of police and aid to the magistrates and the police,CrPC,law_info
which chapter focuses on the powers of superior officers of police and aid to the magistrates and the police?,chapter iv,CrPC,law_info
what does section 36 discuss?,powers of superior officers of police,CrPC,law_info
which section discusses the powers of superior officers of police?,section 36,CrPC,law_info
what is the subject of section 39?,public to give information of certain offences,CrPC,law_info
which section discusses public to give information of certain offences?,section 39,CrPC,law_info
what is detailed in chapter v?,"chapter v details the arrest of persons. it includes when police may arrest without warrant, notice of appearance before police officer, procedure of arrest and duties of officer making arrest, control room at districts, right of arrested person to meet an advocate during interrogation, and more.",CrPC,law_info
what does chapter v include about the arrest of persons?,"chapter v details the arrest of persons. it includes when police may arrest without warrant, notice of appearance before police officer, procedure of arrest and duties of officer making arrest, control room at districts, right of arrested person to meet an advocate during interrogation, and more.",CrPC,law_info
what does section 41 detail?,section 41 details when police may arrest without a warrant.,CrPC,law_info
which section details when police may arrest without a warrant?,section 41 details when police may arrest without a warrant.,CrPC,law_info
what is the content of section 41a?,section 41a is about the notice of appearance before a police officer.,CrPC,law_info
which section is about the notice of appearance before a police officer?,section 41a is about the notice of appearance before a police officer.,CrPC,law_info
what is explained in section 41b?,section 41b explains the procedure of arrest and duties of the officer making the arrest.,CrPC,law_info
what does section 41b explain?,the procedure of arrest and duties of the officer making the arrest.,CrPC,law_info
what does section 41c discuss?,section 41c discusses the control room at districts.,CrPC,law_info
which section discusses the control room at districts?,section 41c discusses the control room at districts.,CrPC,law_info
what is the right outlined in section 41d?,section 41d outlines the right of an arrested person to meet an advocate of his choice during interrogation.,CrPC,law_info
who has the right to meet an advocate of his choice during interrogation as per section 41d?,an arrested person has the right to meet an advocate of his choice during interrogation as per section 41d.,CrPC,law_info
what is the consequence of refusing to give name and residence according to section 42?,"according to section 42, if a person refuses to give their name and residence, they can be arrested.",CrPC,law_info
what can happen to a person if they refuse to provide their name and residence according to section 42?,they can be arrested.,CrPC,law_info
what is the procedure on arrest by a private person as per section 43?,section 43 details the procedure to be followed when a private person makes an arrest.,CrPC,law_info
which section details the procedure to be followed when a private person makes an arrest?,section 43,CrPC,law_info
what does section 44 discuss?,section 44 discusses arrest by a magistrate.,CrPC,law_info
which section discusses arrest by a magistrate?,section 44 discusses arrest by a magistrate.,CrPC,law_info
what protection is outlined in section 45?,section 45 outlines the protection of members of the armed forces from arrest.,CrPC,law_info
who are protected from arrest as outlined in section 45?,members of the armed forces are protected from arrest as outlined in section 45.,CrPC,law_info
what is detailed in section 46?,section 46 details how an arrest is made.,CrPC,law_info
which section details how an arrest is made?,section 46 details how an arrest is made.,CrPC,law_info
what does section 47 discuss?,section 47 discusses the search of a place entered by a person sought to be arrested.,CrPC,law_info
which section discusses the search of a place entered by a person sought to be arrested?,section 47 discusses the search of a place entered by a person sought to be arrested.,CrPC,law_info
what does section 48 detail?,section 48 details the pursuit of offenders into other jurisdictions.,CrPC,law_info
what does the pursuit of offenders into other jurisdictions refer to in the context of legal sections?,"in the context of legal sections, the pursuit of offenders into other jurisdictions refers to section 48.",CrPC,law_info
what is mentioned in section 49?,section 49 mentions that there should be no unnecessary restraint.,CrPC,law_info
which section mentions that there should be no unnecessary restraint?,section 49 mentions that there should be no unnecessary restraint.,CrPC,law_info
what rights are informed to a person arrested as per section 50?,"according to section 50, a person arrested must be informed of the grounds of their arrest and of their right to bail.",CrPC,law_info
what must a person be informed of according to section 50 when they are arrested?,"according to section 50, a person arrested must be informed of the grounds of their arrest and of their right to bail.",CrPC,law_info
what is the obligation of the person making an arrest according to section 50a?,"according to section 50a, the person making the arrest has an obligation to inform about the arrest, etc., to a nominated person.",CrPC,law_info
what does section 50a state about the responsibilities of a person making an arrest?,"section 50a states that the person making the arrest has the obligation to inform about the arrest, etc., to a nominated person.",CrPC,law_info
what does section 51 detail?,section 51 details the search of an arrested person.,CrPC,law_info
what does section 51 detail about an arrested person?,section 51 details the search of an arrested person.,CrPC,law_info
what power is mentioned in section 52?,section 52 mentions the power to seize offensive weapons.,CrPC,law_info
which section mentions the power to seize offensive weapons?,the power to seize offensive weapons is mentioned in section 52.,CrPC,law_info
what does the law state under 53 regarding examinations of the accused?,examination of accused by medical practitioner at the request of police officer.,CrPC,law_info
who is allowed to examine the accused at the request of a police officer under law 53?,a medical practitioner.,CrPC,law_info
what does the law state under 53a regarding examinations of the accused?,examination of person accused of rape by medical practitioner.,CrPC,law_info
who is allowed to examine a person accused of rape according to law 53a?,a medical practitioner.,CrPC,law_info
what does the law state under 54a regarding identification of arrested persons?,identification of person arrested.,CrPC,law_info
what is the topic addressed by section 54a of the law?,identification of person arrested.,CrPC,law_info
what does the law state under 55a regarding health and safety of arrested person?,health and safety of arrested person.,CrPC,law_info
what is the subject of law under 55a?,health and safety of arrested person.,CrPC,law_info
what does the law state under 57 regarding detention period of an arrested person?,person arrested not to be detained more than twentyfour hours.,CrPC,law_info
what is the maximum detention period for an arrested person under law 57?,twentyfour hours,CrPC,law_info
what does the law state under 60a regarding the manner of making an arrest?,arrest to be made strictly according to the code.,CrPC,law_info
what should be followed strictly when making an arrest under 60a?,the law states that the arrest should be made strictly according to the code.,CrPC,law_info
what does the law state under 61 regarding the form of summons?,form of summons.,CrPC,law_info
what is the term used for the prescribed format under law 61 regarding summons?,form of summons,CrPC,law_info
what does the law state under 63 regarding service of summons on corporate bodies and societies?,service of summons on corporate bodies and societies.,CrPC,law_info
what is the term for the legal requirement under law 63 for corporate bodies and societies?,service of summons,CrPC,law_info
what does the law state under 65 when service cannot be effected as before provided?,procedure when service cannot be effected as before provided.,CrPC,law_info
"what is the term for the process under the law if service cannot be effected as previously provided, according to section 65?",procedure when service cannot be effected as before provided.,CrPC,law_info
what does section 67 specify?,service of summons outside local limits.,CrPC,law_info
which section specifies the service of summons outside local limits?,section 67,CrPC,law_info
what does section 68 deal with?,proof of service in such cases and when serving officer not present.,CrPC,law_info
which section deals with the proof of service in cases where the serving officer is not present?,section 68,CrPC,law_info
what does section 69 pertain to?,service of summons on witness by post.,CrPC,law_info
which section pertains to the service of summons on witness by post?,section 69,CrPC,law_info
what does section 70 describe?,form of warrant of arrest and duration.,CrPC,law_info
which section describes the form of warrant of arrest and duration?,section 70,CrPC,law_info
what does section 71 give power to?,power to direct security to be taken.,CrPC,law_info
what does the power to direct security to be taken refer to in legal terms?,it refers to section 71.,CrPC,law_info
who are the warrants directed to according to section 72?,warrants to whom directed.,CrPC,law_info
what is the title of section 72 that discusses to whom the warrants are directed?,warrants to whom directed,CrPC,law_info
what does section 73 allow?,warrant may be directed to any person.,CrPC,law_info
what section allows a warrant to be directed to any person?,section 73,CrPC,law_info
what does section 74 relate to?,warrant directed to police officer.,CrPC,law_info
which section is related to a warrant directed to a police officer?,section 74,CrPC,law_info
what does section 75 notify?,notification of substance of warrant.,CrPC,law_info
what does the notification of substance of warrant correspond to?,section 75,CrPC,law_info
what does section 76 mandate?,person arrested to be brought before court without delay.,CrPC,law_info
which legal section mandates that a person arrested must be brought before court without delay?,section 76,CrPC,law_info
what does section 77 state about the execution of warrants?,where warrant may be executed.,CrPC,law_info
what is the subject matter of section 77 regarding the handling of warrants?,section 77 states about where warrant may be executed.,CrPC,law_info
what does section 78 pertain to?,warrant forwarded for execution outside jurisdiction.,CrPC,law_info
which section pertains to a warrant forwarded for execution outside jurisdiction?,section 78,CrPC,law_info
who is the warrant directed to for execution outside jurisdiction according to section 79?,warrant directed to police officer for execution outside jurisdiction.,CrPC,law_info
who is the warrant directed to for execution outside jurisdiction according to section 79?,warrant directed to police officer for execution outside jurisdiction.,CrPC,law_info
what is the procedure on arrest of person against whom warrant issued according to section 80?,procedure on arrest of person against whom warrant issued.,CrPC,law_info
what does section 80 detail regarding the arrest of a person for whom a warrant has been issued?,section 80 details the procedure on arrest of person against whom warrant issued.,CrPC,law_info
what is the procedure by magistrate before whom such person arrested is brought according to section 81?,procedure by magistrate before whom such person arrested is brought.,CrPC,law_info
what does section 81 specify about the procedure by magistrate before whom such person arrested is brought?,section 81 specifies the procedure by magistrate before whom such person arrested is brought.,CrPC,law_info
what does section 82 call for?,proclamation for person absconding.,CrPC,law_info
which section calls for a proclamation for a person absconding?,section 82,CrPC,law_info
what does section 83 pertain to?,attachment of property of person absconding.,CrPC,law_info
which section pertains to the attachment of property of person absconding?,section 83,CrPC,law_info
what are the claims and objections to attachment according to section 84?,claims and objections to attachment.,CrPC,law_info
what is the term used to describe the doubts and assertions related to attachment according to section 84?,claims and objections to attachment.,CrPC,law_info
what does section 85 deal with?,"release, sale and",CrPC,law_info
"what section deals with release, sale and?",section 85,CrPC,law_info
what is the appeal process for the restoration of attached property?,the appeal from order rejecting application for restoration of attached property is mentioned in rule 86.,CrPC,law_info
what rule mentions the appeal from order rejecting application for restoration of attached property?,rule 86,CrPC,law_info
what is rule 87 about?,"rule 87 is about the issue of warrant in lieu of, or in addition to, summons.",CrPC,law_info
"which rule is about the issue of warrant in lieu of, or in addition to, summons?","rule 87 is about the issue of warrant in lieu of, or in addition to, summons.",CrPC,law_info
what power is discussed in rule 88?,rule 88 discusses the power to take bond for appearance.,CrPC,law_info
which rule discusses the power to take bond for appearance?,rule 88 discusses the power to take bond for appearance.,CrPC,law_info
what is rule 90 about?,rule 90 discusses the provisions of this chapter generally applicable to summonses and warrants of arrest.,CrPC,law_info
which rule discusses the provisions of this chapter generally applicable to summonses and warrants of arrest?,rule 90,CrPC,law_info
what does rule 91 state?,rule 91 is about the summons to produce document or other thing.,CrPC,law_info
which rule is about the summons to produce document or other thing?,rule 91 is about the summons to produce document or other thing.,CrPC,law_info
what is rule 93 about?,rule 93 discusses when a searchwarrant may be issued.,CrPC,law_info
which rule discusses when a searchwarrant may be issued?,rule 93 discusses when a searchwarrant may be issued.,CrPC,law_info
what is the subject of rule 95?,rule 95 is about the power to declare certain publications forfeited and to issue searchwarrants for the same.,CrPC,law_info
which rule is about the power to declare certain publications forfeited and to issue searchwarrants for the same?,rule 95,CrPC,law_info
what is covered under rule 97?,rule 97 is about the search for persons wrongfully confined.,CrPC,law_info
which rule is about the search for persons wrongfully confined?,rule 97 is about the search for persons wrongfully confined.,CrPC,law_info
what power is mentioned in rule 98?,rule 98 discusses the power to compel restoration of abducted females.,CrPC,law_info
which rule discusses the power to compel restoration of abducted females?,rule 98,CrPC,law_info
what does section 99 cover?,"direction, etc., of searchwarrants.",CrPC,law_info
"what is covered under direction, etc., of searchwarrants?",section 99,CrPC,law_info
what is the subject of section 100?,persons in charge of closed place to allow search.,CrPC,law_info
which section talks about persons in charge of closed place to allow search?,section 100,CrPC,law_info
what is covered in section 101?,disposal of things found in search beyond jurisdiction.,CrPC,law_info
which section covers the disposal of things found in search beyond jurisdiction?,section 101,CrPC,law_info
what is the purpose of section 102?,power of police officer to seize certain property.,CrPC,law_info
which section pertains to the power of a police officer to seize certain property?,section 102,CrPC,law_info
what does section 103 permit?,magistrate may direct search in his presence.,CrPC,law_info
who is permitted to direct a search in their presence according to section 103?,a magistrate,CrPC,law_info
what is the function of section 104?,"power to impound document, etc., produced.",CrPC,law_info
"which section gives the power to impound document, etc., produced?",section 104,CrPC,law_info
what is section 105 about?,reciprocal arrangements regarding processes.,CrPC,law_info
what does reciprocal arrangements regarding processes refer to?,section 105,CrPC,law_info
what definitions are provided in section 105a?,the section 105a provides certain definitions.,CrPC,law_info
what does section 105a provide?,section 105a provides certain definitions.,CrPC,law_info
what does section 105b facilitate?,assistance in securing transfer of persons.,CrPC,law_info
what is facilitated by assistance in securing transfer of persons?,section 105b,CrPC,law_info
what procedure does section 105c assist in?,assistance in relation to orders of attachment or forfeiture of property.,CrPC,law_info
which section provides assistance in relation to orders of attachment or forfeiture of property?,section 105c,CrPC,law_info
what is the purpose of section 105d?,identifying unlawfully acquired property.,CrPC,law_info
which section is responsible for identifying unlawfully acquired property?,section 105d,CrPC,law_info
what does section 105e cover?,seizure or attachment of property.,CrPC,law_info
which section covers the seizure or attachment of property?,section 105e,CrPC,law_info
what does section 105f manage?,management of properties seized or forfeited under this chapter.,CrPC,law_info
